timestamp,source_ip,source_port,destination_ip,destination_port,dscp,tos
977979601.0,202.172.237.51,3128,144.222.107.36,4097,0,0
977979601.0,176.97.154.167,3928,209.208.248.203,6346,0,0
977979601.0,170.117.142.248,4044,212.66.228.62,80,0,0
977979601.0,176.97.154.167,6346,83.132.154.161,2226,0,0
977979601.001,209.135.177.34,80,149.67.64.237,1676,0,0
977979601.002,209.135.177.34,80,149.67.64.237,1676,0,0
977979601.002,209.135.177.34,80,149.67.64.237,1676,0,0
977979601.002,209.197.139.87,6346,176.97.154.167,3993,0,0
977979601.003,192.124.185.213,1755,176.122.112.231,64997,0,0
977979601.004,145.43.100.92,6346,176.97.154.167,3926,0,0
977979601.004,201.114.72.81,4777,144.222.154.244,25,0,0
977979601.005,176.97.154.167,3993,209.197.139.87,6346,0,0
977979601.006,180.195.89.92,41226,201.14.10.120,80,0,0
977979601.006,209.2.68.63,6346,176.97.154.167,3966,0,0
977979601.006,46.32.78.189,1282,176.97.154.167,6346,0,0
977979601.006,180.195.208.57,4894,196.16.47.95,80,0,0
977979601.007,176.97.154.167,3926,145.43.100.92,6346,0,0
977979601.009,176.97.154.167,3966,209.2.68.63,6346,0,0
977979601.009,207.62.157.58,53,9.187.194.119,53,0,0
977979601.009,176.97.154.167,6346,46.32.78.189,1282,0,0
977979601.01,107.49.122.150,80,180.195.190.187,1495,0,0
977979601.01,209.135.177.50,80,149.75.65.110,4255,0,0
977979601.01,209.135.177.50,80,149.75.65.110,4255,0,0
977979601.01,209.135.177.50,80,149.75.65.110,4255,0,0
977979601.01,209.135.177.50,80,149.75.65.110,4255,0,0
977979601.01,209.135.177.50,80,149.75.65.110,4255,0,0
977979601.011,195.179.45.125,6346,176.97.154.167,4122,0,0
977979601.011,107.49.122.150,80,180.195.190.187,1495,0,0
977979601.011,107.49.122.150,80,180.195.190.187,1495,0,0
977979601.012,107.49.122.150,80,180.195.190.187,1495,0,0
977979601.012,176.97.154.167,1183,206.80.170.213,6346,0,0
977979601.012,176.97.154.167,6346,83.2.119.208,1529,0,0
977979601.012,176.97.154.167,4582,83.84.226.249,6346,0,0
977979601.012,176.97.154.167,6346,212.110.186.127,45478,0,0
977979601.013,107.28.242.0,80,170.117.73.22,3123,0,0
977979601.013,207.80.79.75,53,176.97.162.147,137,0,0
977979601.013,107.28.242.0,80,170.117.73.22,3123,0,0
977979601.013,107.28.242.0,80,170.117.73.22,3123,0,0
977979601.013,210.63.130.128,137,170.117.119.107,137,0,0
977979601.014,83.109.3.213,6346,176.97.154.167,4357,0,0
977979601.015,83.26.70.121,1330,176.97.154.167,6346,0,0
977979601.015,206.133.254.159,1289,219.218.111.169,6667,0,0
